Perfume Rating,Perfume Best Rating,Perfume Rating Count,Brand,Scent group,Perfume Name,Perfume Description,Top Notes,User Reviews
3.69,5,5,Estée Lauder,"['green', 'floral', 'caramel', 'white floral', 'sweet', 'powdery', 'woody', 'aromatic', 'aquatic', 'fruity']",Adventurous Estée Lauder for women,"Adventurous by Estée Lauder is a Floral Fruity Gourmand fragrance for women. Adventurous was launched in 2011. Top notes are Green Notes, Red Berries and Mandarin Orange; middle notes are Lotus, Jasmine and Heliotrope; base notes are Caramel, Vetiver and Musk. Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","Perfume PyramidTop NotesGreen NotesRed BerriesMandarin Orange
Middle NotesLotusJasmineHeliotrope
Base NotesCaramelVetiverMusk
Vote for Ingredients","['Craig10905/07/22 16:49This is IT.', ""evacecilias06/10/14 21:47I agree with the urban jungle adventure like previous reviewer explained it.\nA little bit of sophistication as for the city and a lot of\nstrong fruity notes as if in the jungle or on an afrikan dusty safari !\nI think the top notes doesn't really go a long well and I usually get that feeling when red currants are in the blend.\nAnd together with the green notes, whatevers been put in.that note /word, makes this a kind of strange start...probably that is why so many pushed the not like button - they have stopped here and probably scrubbed it off.\nThis is were the lovely adventure starts !\nYummy heliotrope jasmin and lotus a lovely combination.\nSoftly rolls into a soft blanket of musk caramel with the slightest touch of creamy vetiver wich lets you have a nice rest under the full moon of the african night."", 'Emilia8802/16/14 17:24Funny enough, I don\'t get ANY green, caramel or sweet notes from this. But boy do I love this one. I find the name ""Adventurous"" fitting. No, it\'s not exotic as in ""wow, this smells like coconut and sunscreen"" but rather ""wow, this smells like an african safari AND a weekend in NYC at the same time"". It has this universal ""urban jungle"" feel to it. It\'s light and fresh but turns warm on my skin, as if I\'d been in the sun all day. I\'d say it\'s a woody floral that would suit a woman at any age. Transforms well from day to evening :)', ""MarillaV08/30/13 13:48Pretty bottle, but misleading. Based on the advertising, this should be a warm, tropical perfume. However, upon spraying, you are whacked in the nostrils with sharp greenness. It really stings. This initial blast does wear off, and then inexplicably I am smelling toffee mixed with white florals. At some point, fruit comes into play. Talk about whiplash. I did enjoy parts of the dry down, but it wasn't anything earth shattering. Not worth sitting through the olfactory equivalent of a roller coaster."", 'Solvita06/25/12 12:59I found this one very strange,not gourmand and all,more floral-green...', ""Habanita11/02/11 07:37I tested it today and liked it. To me it started off with a strong toffee note. I guess this was the caramel element. It reminded me a bit of Kimora Lee Simmons Golden Goddess. It doesn't have the sweetness you imagine with caramel and all the sweet scents. It's more a grown up scent. Unfortunately the staying power on my skin wasn't that great."", ""RoRoSe09/19/11 03:46Actually This is my second review here .. I deleted the 1st post because I discovered that I judged so quickly on this perfume ..\n\nThis perfume needs from you to try it twice ..\nat the first I didn't understood the notes of caramel which are not over sweet or gourmand ,, that was a new thing to my nose to smell a classY,balanced and strong caramel note at the same time, I don't smell fruits here but I can notice vetiver & musk ..\n\nThe bottle is masterpiece for me with it's golden stopper & slim design which is so reasonable for travelling & trips ..\n\nThe lasting power & sillage are normal .. just apply more if you want a concentrated smell ..\n\nThat's so interesting !"", ""Eleiria09/15/11 12:10Sweet little summer fragrance, which unfortunately isn't long lasting. At first Adventurous is a bit too green and sharp, and therefore it burns the nose. Then it turns into a fruit-juice-spilled-on-flowers kind of smell. Nothing new, and nothing adventurous for that matter, however it is likable. I also like the bottle, sleek simple design with coral and golden and that's all that is interesting about Adventurous."", ""vertigo06/24/11 13:26Adventurous to me smells a bit exotic, a suntan-lotion type of scent without typical coconut and tiare.\nI think it'll ba a popular buy in the duty frees all over the world in the holiday season.\nNice, but nothing innovative.\nEstee Lauder plays safe, not adventurous.\nDecent sillage, staying power of about 3-4 hours."", ""Inspire011105/28/11 21:51I don't get this as fruity gourmand. On me, it is straight floral. Starts out green, I thought I could detect gardenia in the beginning. As it dries down, it gets softer and a bit sweeter. Then it gets soapy and musky."", 'an.jorePipip05/16/11 00:55My colleague came to my room and showed me this perfume. It is sweet and thick, I think it would suitable for women at 30+. Nice perfume but should be very feminine person should wear this fragrance, not my cup of tea though :)', ""Aroussa04/26/11 01:50Tested Adventurous yet again at another duty free yesterday. I agree with NathalieZ - there was something sharp and scratchy in the fragrance that started to protrude after an hour or so - I even thought it was some sort of unpleasant spice, but I know now it must have been the vetiver! Didn't buy it - could not imagive using up the 50 ml bottle in a million years."", ""Aroussa04/01/11 02:08Just tested it at an airport duty free. It's a very delicately balanced floral/fruity/gourmand blend, in the sense that none of these three elements stand out, but altogether they produce a rather charming summery and delicately feminine effect. Because I need to 'live' in a fragrance for a full few hours before I can make a decision to buy it, I boarded my my flight without having bought Adventurous, and I regret it now! It's not yet available in the stores here in Moscow... Will wait..."", 'Emilia8802/16/14 17:24Funny enough, I don\'t get ANY green, caramel or sweet notes from this. But boy do I love this one. I find the name ""Adventurous"" fitting. No, it\'s not exotic as in ""wow, this smells like coconut and sunscreen"" but rather ""wow, this smells like an african safari AND a weekend in NYC at the same time"". It has this universal ""urban jungle"" feel to it. It\'s light and fresh but turns warm on my skin, as if I\'d been in the sun all day. I\'d say it\'s a woody floral that would suit a woman at any age. Transforms well from day to evening :)', ""Eleiria09/15/11 12:10Sweet little summer fragrance, which unfortunately isn't long lasting. At first Adventurous is a bit too green and sharp, and therefore it burns the nose. Then it turns into a fruit-juice-spilled-on-flowers kind of smell. Nothing new, and nothing adventurous for that matter, however it is likable. I also like the bottle, sleek simple design with coral and golden and that's all that is interesting about Adventurous."", ""Habanita11/02/11 07:37I tested it today and liked it. To me it started off with a strong toffee note. I guess this was the caramel element. It reminded me a bit of Kimora Lee Simmons Golden Goddess. It doesn't have the sweetness you imagine with caramel and all the sweet scents. It's more a grown up scent. Unfortunately the staying power on my skin wasn't that great."", ""MarillaV08/30/13 13:48Pretty bottle, but misleading. Based on the advertising, this should be a warm, tropical perfume. However, upon spraying, you are whacked in the nostrils with sharp greenness. It really stings. This initial blast does wear off, and then inexplicably I am smelling toffee mixed with white florals. At some point, fruit comes into play. Talk about whiplash. I did enjoy parts of the dry down, but it wasn't anything earth shattering. Not worth sitting through the olfactory equivalent of a roller coaster."", 'Solvita06/25/12 12:59I found this one very strange,not gourmand and all,more floral-green...']"
4.13,5,5,Estée Lauder,"['amber', 'rose', 'fruity', 'woody', 'oud', 'smoky', 'balsamic', 'warm spicy', 'sweet', 'powdery']",Amber Mystique Estée Lauder for women and men,"Amber Mystique by Estée Lauder is a Amber Woody fragrance for women and men. Amber Mystique was launched in 2013. After success of unisex fragrance Wood Mystique presented in 2012 and dedicated to customers in the Middle East, Estee Lauder builds up the collection with a new edition named Amber Mystique. 

Amber Mystique was created as symbol of wealth of culture of the Middle East. Its composition seduces with oriental, juicy, floral and woody notes and is based on accords of amber, taif rose, oud, black currant, raspberry, pink pepper, ylang-ylang, Bulgarian rose, jasmine, incense, sandalwood, patchouli, labdanum, leather and musk. 

Fragrance Amber Mystique is available in a flacon shaped in the same style Wood Mystique, but this time colored in dark red with details in golden color. It can be obtained as 100ml EDP. Arriving in March 2013!Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","Pros
6
0
Long-lasting scent (10+ hours)
6
0
Well-balanced combination of notes
6
0
Sexy and alluring fragrance
5
0
Great for cooler months
4
0
Intoxicating oriental scent
4
0
Unique blend of floral and spicy notes
3
2
Good value for price
1
0
Good for personal use
Cons
4
0
Discontinued, may become expensive in the future
3
1
May not be a crowd pleaser in some regions
2
4
Strong oud note may overpower other notes
1
2
Not suitable for hot weather
0
1
Not as versatile as some other fragrances
0
1
Some people may find the oud note unpleasant
0
3
May not be suitable for certain skin tones or genders
0
3
May remind some people of an old-fashioned scent",
4.26,5,5,Estée Lauder,"['green', 'woody', 'floral', 'aldehydic', 'aromatic']",Celadon Estée Lauder for women,"Celadon by Estée Lauder is a Floral Green fragrance for women. Celadon was launched in 1978. Estee Lauder launched the New Romantics collection in 1978. The collection consisted of three fragrances (White Linen, Celadon and Pavilion), which could be combined with each other. Celadon and Pavilion are long discontinued, while White Linen is still available. 
 Celadon is a floral - green perfume, “intensely beautiful, reminiscent of a garden laden with flowers"". It contains aldehydes, galbanum, rose, green notes, floral notes, woods and musk.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","Fragrance NotesGreen NotesGalbanumWoodsy NotesFloral NotesAldehydesMuskRose
Vote for Ingredients","[""drugstore classics01/21/14 10:32Surprise!\n\nWhen I first smelled White Linen, it seemed to me that it was a very bare fragrance, lacking something. Today I appreciate it for it's own spare, pungent qualities - while glorying in the fact that my intial impression was spot on! Sadly, Celadon looks like the Green Queen, one that would have made my heart sing.....\n\nI wish that companies today would more willingly present trios of fragrances with the intent to combine. The middle east need not be alone in utilizing this concept - one that eastern marketing should have seized ages ago!\n\nOne current offering comes to mind that has a similar advertising concept. Jovan Intense OUD (marketed almost exclusively in the middle east ) was recently released with a rose and an amber companion - making a legitimate trio! While I have only tested the one, I am certain that their quality is excellent for the price range. They have just become available for the US market at Fragrancenet.com, and receiving my bottle of Jovan Intense Oud has made me very happy indeed! \n\nThese is, of course, no SCENT comparison between this lovely 70's trio and Jovan's oud, amber, and rose. But it is a concept well worth investigating further, as western noses seldom realize the full potential of fragrance combinations."", ""nananessa12/20/12 21:31I used to wear this back in the late 70s when it first came out. It was my favorite of the collection. I went through a couple of bottles of it because I loved it so much. It had such a clean, fresh, outdoorsy quality to it with the abundance of the green notes & just gorgeous aldehydes in the top! The florals were soft, like a bouquet, the rose in it was soft & powdery. I was doing nursing at the time & my patients were always complimenting it. It wasn't a sickeningly sweet floral at all. Such a perfectly balanced blend of notes. \n\nBut the galbanum, woody notes that smelled so pronounced & so pleasant, with such a soft musk base!!! It was florally green but it had a dryness to it that I liked.\n\nIt was strong, had great sillage. Sad to see a used vintage bottle on ebay going for $200 but if I had the money to burn, I would love to have it just for old times' sake. 'Wish Lauder would bring it back. I liked it better than White Linen. A hidden treasure from it's era. 'Seems like there were ads that showed exotic hanging gardens, supposed to be like the old wonder of Babylon's famed hanging gardens. It was a stunner!"", ""brian.cloutier112/06/12 16:16This is a Ultimate Lauder classic to me, I love it due to it's current rarity, it is soft almost a powdery underscore with a headiness of the late 70's....Reminds me some of Revlon's Scoundrel....Celadon,a Lost treasure has a true staying power siliage..but not too intrusive...."", ""brian.cloutier112/06/12 16:16This is a Ultimate Lauder classic to me, I love it due to it's current rarity, it is soft almost a powdery underscore with a headiness of the late 70's....Reminds me some of Revlon's Scoundrel....Celadon,a Lost treasure has a true staying power siliage..but not too intrusive...."", ""nananessa12/20/12 21:31I used to wear this back in the late 70s when it first came out. It was my favorite of the collection. I went through a couple of bottles of it because I loved it so much. It had such a clean, fresh, outdoorsy quality to it with the abundance of the green notes & just gorgeous aldehydes in the top! The florals were soft, like a bouquet, the rose in it was soft & powdery. I was doing nursing at the time & my patients were always complimenting it. It wasn't a sickeningly sweet floral at all. Such a perfectly balanced blend of notes. \n\nBut the galbanum, woody notes that smelled so pronounced & so pleasant, with such a soft musk base!!! It was florally green but it had a dryness to it that I liked.\n\nIt was strong, had great sillage. Sad to see a used vintage bottle on ebay going for $200 but if I had the money to burn, I would love to have it just for old times' sake. 'Wish Lauder would bring it back. I liked it better than White Linen. A hidden treasure from it's era. 'Seems like there were ads that showed exotic hanging gardens, supposed to be like the old wonder of Babylon's famed hanging gardens. It was a stunner!""]"
4.02,5,5,Estée Lauder,"['warm spicy', 'amber', 'woody', 'balsamic', 'powdery', 'cinnamon']",Cinnabar Estée Lauder for women,"Cinnabar by Estée Lauder is a Amber Spicy fragrance for women. Cinnabar was launched in 1978. Cinnabar was created by Bernard Chant and Josephine Catapano. Top notes are Spices, Cloves, Tangerine, Peach, Orange Blossom and Bergamot; middle notes are Cinnamon, Carnation, Ylang-Ylang, Jasmine, Lily, Rose and Lily-of-the-Valley; base notes are Incense, Tolu Balsam, Amber, Benzoin, Sandalwood, Patchouli, Vanilla and Vetiver. Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",PerfumersBernard ChantJosephine Catapano,
3.8,5,5,Estée Lauder,"['white floral', 'aldehydic', 'woody', 'fresh', 'floral', 'earthy', 'mossy', 'powdery', 'aromatic', 'iris']",Estee Estée Lauder for women,"Estee by Estée Lauder is a Floral fragrance for women. Estee was launched in 1968. Estee was created by Betty Busse and Bernard Chant. Top notes are Aldehydes, Coriander, Lily, Ylang-Ylang, Tuberose, Lemon, Raspberry and Peach; middle notes are Honey, Carnation, Lily-of-the-Valley, Iris, Orris Root, Jasmine and Rose; base notes are Oakmoss, Sandalwood, Styrax and Cedar. Classic fragrance Estee was created in 1968. This is the second fragrance created by Estee Lauder, the founder of the house, herself. Notes of jasmine, rose and ylang-ylang make it classically feminine and sweetly floral. The warmth and delicacy of flowers is accentuated by fruit oils of raspberry, peach and citruses. The scent is slightly spicy and floral warm. 
The fragrance concentration in Super Cologne Spray is lower. It is created for daily use and warmer weather.
Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",PerfumersBernard ChantBetty Busse,
4.7,5,5,Estée Lauder,"['white floral', 'woody', 'powdery', 'sweet', 'floral', 'iris', 'aromatic', 'earthy', 'fruity', 'fresh']",Estee Extrait Estée Lauder for women,"Estee Extrait by Estée Lauder is a Floral Aldehyde fragrance for women. Estee Extrait was launched in 1968. Estee Extrait was created by Betty Busse and Bernard Chant. Top notes are Lily, Aldehydes, Coriander, Ylang-Ylang, Raspberry, Peach, Tuberose and Lemon; middle notes are Honey, Carnation, Lily-of-the-Valley, Orris Root, Rose, Iris and Jasmine; base notes are Oakmoss, Sandalwood, Styrax and Cedar. Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",PerfumersBernard ChantBetty Busse,"[""amanda-m-lewis11/14/21 12:20This is so beautiful! This is real Oakmoss, real honey. It is real perfume! \n\nGood perfume. Gorgeous perfume with aldehydes, Ylang-Ylang, Tuberose that sing and soar. Orris root so delicate. Carnation that lends its spiciness and coriander for earthiness and Rose that gives this scent an expensive feel. \n\nAnd im sad as I only have 20mls in a 30mls bottle and this scent is now so expensive. So ill be saving this for when I need something special as they literally don't make them like this anymore. They really don't."", 'pascal musset01/03/17 12:54A must have ! all the spirit of the fabulous Estée Lauder ! So american !']"
4.38,5,5,Estée Lauder,"['white floral', 'citrus', 'rose', 'vanilla', 'fruity', 'floral']",Honeysuckle Splash Estée Lauder for women,"Honeysuckle Splash by Estée Lauder is a Floral fragrance for women. Honeysuckle Splash was launched in 2000. Top notes are Neroli and Mandarin Orange; middle notes are Honeysuckle and White Rose; base note is Vanilla. Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","Perfume PyramidTop NotesNeroliMandarin Orange
Middle NotesHoneysuckleWhite Rose
Base NotesVanilla
Vote for Ingredients","['emilymonroe108/01/22 03:11One of the nicest honeysuckle scents. This is an olfactory experience rather than just a scent. The enticing aroma of honeysuckle, whose identifiable effluvium I still seek out amid the many synthetic smells that are currently on the market, fills the entire space. I ponder whether someone will actually consider relaunching it. Despite being a limited edition, it was fantastic. Miss it', 'dollyrealtorny04/15/20 09:48WHERE CAN I FIND THIS?????\nI WORE THIS FOR SEVERAL YEARS AND LOVED, LOVED, LOVED IT!\nIT WAS SOFT AND ROMANTIC AND I WORE WHEN IT ALL THE TIME AND RECEIVED SO MANY COMPLIMENTS EVERY SINGLE TIME.', ""elzig01/05/20 10:29Love this stuff went through 3 bottles when it was sold as special edit early 2000 still have the the 3rd bottle 1/2 full just to smell the cap hahahahaha. Why I like it, smelled to my nose nostalgic 60's to Avon's honeysuckle perfume cream (childhood magic memories) If you don't have the Estee version Honeysuckle Splash you can try the Avon perfume called TODAY which has the same scent vibe. I think the Estee honeysuckle is a bit sharper, cooler and the Avon Today a bit warmer and longer lasting. Great honeysuckle fragrance is all I smell in both, a must have for anyone who loves the beautiful fragrance of budding white flowers on trees and bushes in every nook and cranny of neighborhoods, parks, and outdoor plaza's in the springtime throughout the California sunshine."", 'Henglertdavis07/03/19 16:35Received this as a gift from my Mom when it launched. Beautiful, heady fragrance. Will always hold on to that lovely green bottle.', ""alatchka06/08/19 11:53I loved this fragrance way back when it was launched. Bought a bottle, full price at a local Nordstroms (and that's saying a lot, as I am a bargain shopper extraordinaire). In my naivity, I did not bother to ask if this beautiful, true honeysuckle scent was a limited release. It was. Thank goodness for Fragrantica and eBay. I have managed to acquire a few bottles (a couple here, from fellow Fragrantican) at a fairly reasonable price. What is reasonable? If you absolutely love something and it is no longer in production, almost any price is reasonable, am I right? I realize that fragrance companies are constantly creating and launching new products. Out with the old and in with the new. But some fragrances need to stay...and stay the same...no reformulations!!!! IMHO, this is a keeper and EL execs should be reading these Fragrantica reviews (heck, all fragrance companies should) and realize what their buyers want. Please relaunch this fragrance!!!!"", ""masako_3005/31/19 09:25In those moments when I feel nostalgic, I am aware of having lost a treasure, a great perfume among the few I owned in the past. \nMore than a perfume, an experience.\nThe whole air was filled with the\xa0unmistakable effluvium, delicious smell, of honeysuckle, that typical one I've not yet stopped looking for among the numerous commercial scents, nowadays available.\nI wonder if anyone really will think of relaunching it."", ""PerfumeGodess12/26/14 18:46I actually don't dislike this fragrance. It is just not my favorite. It is very potent."", 'luvs2crooz05/10/14 13:18I have a couple of bottles, unused. Make an offer. When I could no longer find it, I called EL and asked about it. The man said he could find a few bottles and I said, send em. And he did!', 'Giselle Viz02/14/14 16:13Bring it back!', 'mariapapaya11/15/13 09:30One of the best honeysuckle fragrances indeed that never managed to find in order to purchase. Just lived with some samples that managed to collect. Estee Lauder, PLEASE PLEASE PLEASE RE-LAUNCH IT!!!!', ""alatchka06/08/19 11:53I loved this fragrance way back when it was launched. Bought a bottle, full price at a local Nordstroms (and that's saying a lot, as I am a bargain shopper extraordinaire). In my naivity, I did not bother to ask if this beautiful, true honeysuckle scent was a limited release. It was. Thank goodness for Fragrantica and eBay. I have managed to acquire a few bottles (a couple here, from fellow Fragrantican) at a fairly reasonable price. What is reasonable? If you absolutely love something and it is no longer in production, almost any price is reasonable, am I right? I realize that fragrance companies are constantly creating and launching new products. Out with the old and in with the new. But some fragrances need to stay...and stay the same...no reformulations!!!! IMHO, this is a keeper and EL execs should be reading these Fragrantica reviews (heck, all fragrance companies should) and realize what their buyers want. Please relaunch this fragrance!!!!"", 'mariapapaya11/15/13 09:30One of the best honeysuckle fragrances indeed that never managed to find in order to purchase. Just lived with some samples that managed to collect. Estee Lauder, PLEASE PLEASE PLEASE RE-LAUNCH IT!!!!', 'luvs2crooz05/10/14 13:18I have a couple of bottles, unused. Make an offer. When I could no longer find it, I called EL and asked about it. The man said he could find a few bottles and I said, send em. And he did!', ""elzig01/05/20 10:29Love this stuff went through 3 bottles when it was sold as special edit early 2000 still have the the 3rd bottle 1/2 full just to smell the cap hahahahaha. Why I like it, smelled to my nose nostalgic 60's to Avon's honeysuckle perfume cream (childhood magic memories) If you don't have the Estee version Honeysuckle Splash you can try the Avon perfume called TODAY which has the same scent vibe. I think the Estee honeysuckle is a bit sharper, cooler and the Avon Today a bit warmer and longer lasting. Great honeysuckle fragrance is all I smell in both, a must have for anyone who loves the beautiful fragrance of budding white flowers on trees and bushes in every nook and cranny of neighborhoods, parks, and outdoor plaza's in the springtime throughout the California sunshine."", ""masako_3005/31/19 09:25In those moments when I feel nostalgic, I am aware of having lost a treasure, a great perfume among the few I owned in the past. \nMore than a perfume, an experience.\nThe whole air was filled with the\xa0unmistakable effluvium, delicious smell, of honeysuckle, that typical one I've not yet stopped looking for among the numerous commercial scents, nowadays available.\nI wonder if anyone really will think of relaunching it.""]"
4.02,5,5,Estée Lauder,"['woody', 'earthy', 'powdery', 'warm spicy', 'white floral', 'aromatic', 'mossy', 'aldehydic', 'musky', 'animalic']",Knowing Estée Lauder for women,"Knowing by Estée Lauder is a Chypre Floral fragrance for women. Knowing was launched in 1988. The nose behind this fragrance is Harry Fremont. Top notes are Aldehydes, Mimosa, Rose, Coriander, Green Notes, Plum, Tuberose and Melon; middle notes are Patchouli, Cardamom, Cedar, Bay Leaf, Orris Root, Jasmine, Orange Blossom, Lily-of-the-Valley and Pitosporum; base notes are Oakmoss, Patchouli, Civet, Spices, Vetiver, Sandalwood, Amber, Orris Root and Musk. Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",PerfumerHarry Fremont,
4.35,5,5,Estée Lauder,"['aromatic', 'woody', 'green', 'earthy', 'warm spicy', 'mossy', 'soft spicy', 'white floral', 'floral', 'fresh spicy']",Lauder for Men Estée Lauder for men,"Lauder for Men by Estée Lauder is a Aromatic Fougere fragrance for men. Lauder for Men was launched in 1985. The nose behind this fragrance is Nicholas Calderone. Top notes are Juniper Berries, Galbanum, Green Notes, Clary Sage, Anise, Lemon, Coriander, Cardamon and Mandarin Orange; middle notes are Carnation, Vetiver, Lily-of-the-Valley, Jasmine and Rose; base notes are Oakmoss, Sandalwood, Patchouli, Musk, Cedar, Amber and Vanilla. Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",PerfumerNicholas Calderone,
3.99,5,5,Estée Lauder,"['warm spicy', 'white floral', 'amber', 'woody', 'powdery', 'floral', 'fruity', 'sweet', 'aromatic', 'vanilla']",SpellBound Estée Lauder for women,"SpellBound by Estée Lauder is a Amber Floral fragrance for women. SpellBound was launched in 1991. The nose behind this fragrance is Sophia Grojsman. Top notes are Apricot, Fruity Notes, Brazilian Rosewood, Rose, Lily-of-the-Valley and Lemon; middle notes are Carnation, Cardamom, Tuberose, Heliotrope, Narcissus, Orange Blossom, Jasmine and Lily; base notes are Amber, Sandalwood, Vanilla, Opoponax, Benzoin, Civet, Cedar, Vetiver and Musk. SpellBound, the oriental fragrance with floral notes, was launched in 1991. It is passionate, thanks to delicate, slightly spicy heart of the composition: orange blossom, daffodil, carnation, cardamom. In the top notes there are rose, citrus and apricot. The base is made of sandalwood, vetiver, vanilla and amber.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",PerfumerSophia Grojsman,
